[PokaPoka @ 769871ms/37s/58m/10h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 699840ms/39s/58m/10h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 55101ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-673)] with expected peak @ (x:584, y:100)
[PokaPoka @ 68063ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-667)] with expected peak @ (x:584, y:100)
[PokaPoka @ 83035ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-659)] with expected peak @ (x:584, y:100)
[PokaPoka @ 97995ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-649)] with expected peak @ (x:584, y:100)
[PokaPoka @ 111827ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-637)] with expected peak @ (x:584, y:100)
[PokaPoka @ 125793ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-623)] with expected peak @ (x:584, y:100)
[PokaPoka @ 138758ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-607)] with expected peak @ (x:584, y:100)
[PokaPoka @ 151722ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-589)] with expected peak @ (x:584, y:100)
[PokaPoka @ 166681ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587-569)] with expected peak @ (x:587, y:100)
[PokaPoka @ 180842ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590-547)] with expected peak @ (x:590, y:100)
[PokaPoka @ 195186ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593-523)] with expected peak @ (x:593, y:100)
[PokaPoka @ 208157ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596-497)] with expected peak @ (x:596, y:100)
[PokaPoka @ 221126ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599-469)] with expected peak @ (x:599, y:100)
[PokaPoka @ 234082ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602-439)] with expected peak @ (x:602, y:100)
[PokaPoka @ 250512ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605-407)] with expected peak @ (x:605, y:100)
[PokaPoka @ 265467ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608-373)] with expected peak @ (x:608, y:100)
[PokaPoka @ 279428ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611-337)] with expected peak @ (x:611, y:100)
[PokaPoka @ 293392ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614-299)] with expected peak @ (x:614, y:100)
[PokaPoka @ 307390ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617-259)] with expected peak @ (x:617, y:100)
[PokaPoka @ 322318ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620-217)] with expected peak @ (x:620, y:100)
[PokaPoka @ 335281ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623-173)] with expected peak @ (x:623, y:100)
[PokaPoka @ 348244ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626-127)] with expected peak @ (x:626, y:100)
[PokaPoka @ 361797ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629-79)] with expected peak @ (x:629, y:100)
[PokaPoka @ 375297ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632-29)] with expected peak @ (x:632, y:100)
[PokaPoka @ 425565ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(725-718)] with expected peak @ (x:725, y:100)
[PokaPoka @ 438531ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(722-718)] with expected peak @ (x:722, y:100)
[PokaPoka @ 451494ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(719-716)] with expected peak @ (x:719, y:100)
[PokaPoka @ 466454ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(716-712)] with expected peak @ (x:716, y:100)
[PokaPoka @ 481415ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(713-706)] with expected peak @ (x:713, y:100)
[PokaPoka @ 495380ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(710-698)] with expected peak @ (x:710, y:100)
[PokaPoka @ 508352ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707-688)] with expected peak @ (x:707, y:100)
[PokaPoka @ 522307ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(704-676)] with expected peak @ (x:704, y:100)
[PokaPoka @ 536302ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(701-662)] with expected peak @ (x:701, y:100)
[PokaPoka @ 550265ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(698-646)] with expected peak @ (x:698, y:100)
[PokaPoka @ 565561ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(695-628)] with expected peak @ (x:695, y:100)
[PokaPoka @ 898601ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623-672)] with expected peak @ (x:623, y:100)
[PokaPoka @ 913734ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620-672)] with expected peak @ (x:620, y:100)
[PokaPoka @ 926700ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617-670)] with expected peak @ (x:617, y:100)
[PokaPoka @ 939707ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614-666)] with expected peak @ (x:614, y:100)
[PokaPoka @ 952661ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611-660)] with expected peak @ (x:611, y:100)
[PokaPoka @ 967115ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608-652)] with expected peak @ (x:608, y:100)
[PokaPoka @ 982078ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605-642)] with expected peak @ (x:605, y:100)
[PokaPoka @ 997037ms/10s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602-630)] with expected peak @ (x:602, y:100)
[PokaPoka @ 12030ms/11s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599-616)] with expected peak @ (x:599, y:100)
[PokaPoka @ 24965ms/11s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596-600)] with expected peak @ (x:596, y:100)
[PokaPoka @ 37938ms/11s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593-582)] with expected peak @ (x:593, y:100)
[PokaPoka @ 51891ms/11s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590-562)] with expected peak @ (x:590, y:100)
[PokaPoka @ 65850ms/11s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587-540)] with expected peak @ (x:587, y:100)
[PokaPoka @ 79777ms/11s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-516)] with expected peak @ (x:584, y:100)
[PokaPoka @ 94741ms/11s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581-490)] with expected peak @ (x:581, y:100)
[PokaPoka @ 716732ms/13s/59m/10h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 716732ms/13s/59m/10h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 716732ms/13s/59m/10h, 27d/6mo/2021y] --> Exported game log
