[PokaPoka @ 99151ms/12s/1m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 679405ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-668)] with expected peak @ (x:772, y:100)
[PokaPoka @ 696600ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-666)] with expected peak @ (x:772, y:100)
[PokaPoka @ 714176ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-662)] with expected peak @ (x:772, y:100)
[PokaPoka @ 730133ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-656)] with expected peak @ (x:772, y:100)
[PokaPoka @ 746094ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-648)] with expected peak @ (x:772, y:100)
[PokaPoka @ 761556ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(769-638)] with expected peak @ (x:769, y:100)
[PokaPoka @ 777780ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(766-626)] with expected peak @ (x:766, y:100)
[PokaPoka @ 794506ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(763-612)] with expected peak @ (x:763, y:100)
[PokaPoka @ 811366ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(760-596)] with expected peak @ (x:760, y:100)
[PokaPoka @ 827570ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(757-578)] with expected peak @ (x:757, y:100)
[PokaPoka @ 8011ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(724-574)] with expected peak @ (x:724, y:100)
[PokaPoka @ 24306ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(721-574)] with expected peak @ (x:721, y:100)
