[PokaPoka @ 841775ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-621)] with expected peak @ (x:965, y:100)
[PokaPoka @ 979976ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-727)] with expected peak @ (x:679, y:100)
[PokaPoka @ 991929ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-705)] with expected peak @ (x:679, y:100)
[PokaPoka @ 6923ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-681)] with expected peak @ (x:679, y:100)
[PokaPoka @ 20854ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-655)] with expected peak @ (x:679, y:100)
[PokaPoka @ 34817ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-627)] with expected peak @ (x:679, y:100)
[PokaPoka @ 210858ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-723)] with expected peak @ (x:965, y:100)
[PokaPoka @ 226819ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-699)] with expected peak @ (x:965, y:100)
[PokaPoka @ 241775ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-673)] with expected peak @ (x:965, y:100)
[PokaPoka @ 258730ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-645)] with expected peak @ (x:965, y:100)
[PokaPoka @ 395995ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-718)] with expected peak @ (x:679, y:100)
[PokaPoka @ 408979ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-696)] with expected peak @ (x:679, y:100)
[PokaPoka @ 424908ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-672)] with expected peak @ (x:679, y:100)
[PokaPoka @ 439897ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-646)] with expected peak @ (x:679, y:100)
[PokaPoka @ 452861ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-618)] with expected peak @ (x:679, y:100)
[PokaPoka @ 523328ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-718)] with expected peak @ (x:542.0, y:100)
