[PokaPoka @ 418112ms/27s/10m/1h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 990906ms/27s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 455874ms/30s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 260865ms/32s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(2) --> removed from inventory
[PokaPoka @ 463301ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(444-256)] with expected peak @ (x:444, y:100)
[PokaPoka @ 476262ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(441-212)] with expected peak @ (x:441, y:100)
[PokaPoka @ 491019ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(438-166)] with expected peak @ (x:438, y:100)
[PokaPoka @ 503057ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(435-118)] with expected peak @ (x:435, y:100)
[PokaPoka @ 516995ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(432-68)] with expected peak @ (x:432, y:100)
[PokaPoka @ 530912ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(429-16)] with expected peak @ (x:429, y:100)
[PokaPoka @ 545905ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(426--38)] with expected peak @ (x:426, y:100)
[PokaPoka @ 560833ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(423--94)] with expected peak @ (x:423, y:100)
[PokaPoka @ 574956ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(420--152)] with expected peak @ (x:420, y:100)
[PokaPoka @ 587924ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(417--212)] with expected peak @ (x:417, y:100)
[PokaPoka @ 601886ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(414--274)] with expected peak @ (x:414, y:100)
[PokaPoka @ 615846ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(411--338)] with expected peak @ (x:411, y:100)
[PokaPoka @ 629821ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(408--404)] with expected peak @ (x:408, y:100)
[PokaPoka @ 643780ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(405--472)] with expected peak @ (x:405, y:100)
[PokaPoka @ 657744ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(402--542)] with expected peak @ (x:402, y:100)
[PokaPoka @ 671707ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(399--614)] with expected peak @ (x:399, y:100)
[PokaPoka @ 684871ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(396--688)] with expected peak @ (x:396, y:100)
[PokaPoka @ 697839ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(393--764)] with expected peak @ (x:393, y:100)
[PokaPoka @ 711841ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(390--842)] with expected peak @ (x:390, y:100)
[PokaPoka @ 726191ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(387--922)] with expected peak @ (x:387, y:100)
[PokaPoka @ 740296ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(384--1004)] with expected peak @ (x:384, y:100)
[PokaPoka @ 753227ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(381--1088)] with expected peak @ (x:381, y:100)
[PokaPoka @ 768190ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(378--1174)] with expected peak @ (x:378, y:100)
[PokaPoka @ 781188ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(375--1262)] with expected peak @ (x:375, y:100)
[PokaPoka @ 795147ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(372--1352)] with expected peak @ (x:372, y:100)
[PokaPoka @ 810078ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(369--1444)] with expected peak @ (x:369, y:100)
[PokaPoka @ 822051ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(366--1538)] with expected peak @ (x:366, y:100)
[PokaPoka @ 837009ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(363--1634)] with expected peak @ (x:363, y:100)
[PokaPoka @ 852183ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(360--1732)] with expected peak @ (x:360, y:100)
[PokaPoka @ 868152ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(357--1832)] with expected peak @ (x:357, y:100)
[PokaPoka @ 774311ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(453-718)] with expected peak @ (x:453, y:100)
[PokaPoka @ 787279ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456-718)] with expected peak @ (x:456, y:100)
[PokaPoka @ 800283ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(459-716)] with expected peak @ (x:459, y:100)
