[PokaPoka @ 929903ms/56s/44m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 86705ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-610)] with expected peak @ (x:295, y:100)
[PokaPoka @ 127415ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-602)] with expected peak @ (x:295, y:100)
[PokaPoka @ 183217ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-592)] with expected peak @ (x:295, y:100)
[PokaPoka @ 246673ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-580)] with expected peak @ (x:295, y:100)
[PokaPoka @ 308512ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-566)] with expected peak @ (x:295, y:100)
[PokaPoka @ 365731ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-550)] with expected peak @ (x:295, y:100)
[PokaPoka @ 407199ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-532)] with expected peak @ (x:295, y:100)
[PokaPoka @ 532058ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-568)] with expected peak @ (x:245, y:100)
[PokaPoka @ 569584ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-566)] with expected peak @ (x:245, y:100)
[PokaPoka @ 602135ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-476)] with expected peak @ (x:280, y:100)
[PokaPoka @ 609119ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-562)] with expected peak @ (x:245, y:100)
[PokaPoka @ 642470ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-474)] with expected peak @ (x:280, y:100)
[PokaPoka @ 649452ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-556)] with expected peak @ (x:245, y:100)
