[PokaPoka @ 203638ms/57s/28m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 151270ms/59s/28m/8h, 28d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 68054ms/21s/29m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(8) --> removed from inventory
[PokaPoka @ 411007ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-668)] with expected peak @ (x:978, y:100)
[PokaPoka @ 427413ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-662)] with expected peak @ (x:978, y:100)
[PokaPoka @ 443533ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-654)] with expected peak @ (x:978, y:100)
[PokaPoka @ 460469ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-644)] with expected peak @ (x:978, y:100)
[PokaPoka @ 476659ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-632)] with expected peak @ (x:978, y:100)
[PokaPoka @ 494512ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-618)] with expected peak @ (x:978, y:100)
[PokaPoka @ 514445ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-602)] with expected peak @ (x:978, y:100)
[PokaPoka @ 533079ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-584)] with expected peak @ (x:978, y:100)
[PokaPoka @ 972742ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-674)] with expected peak @ (x:978, y:100)
[PokaPoka @ 992728ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-672)] with expected peak @ (x:978, y:100)
[PokaPoka @ 14015ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-668)] with expected peak @ (x:978, y:100)
[PokaPoka @ 37554ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-662)] with expected peak @ (x:978, y:100)
[PokaPoka @ 61894ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-654)] with expected peak @ (x:978, y:100)
[PokaPoka @ 82392ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-644)] with expected peak @ (x:978, y:100)
[PokaPoka @ 98410ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-632)] with expected peak @ (x:978, y:100)
