[PokaPoka @ 376403ms/29s/15m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 579013ms/30s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 6852ms/32s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 956014ms/39s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-718)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 969003ms/39s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-716)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 983356ms/39s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-712)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 998311ms/39s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-706)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 12750ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-698)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 25750ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(416.0-688)] with expected peak @ (x:416.0, y:100)
[PokaPoka @ 38688ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-676)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 52644ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-662)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 68632ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-646)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 83562ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-628)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 98554ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-608)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 112792ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-586)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 125760ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-562)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 138706ms/40s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-536)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 39718ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-718)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 53678ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-718)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 68638ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-716)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 83599ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-712)] with expected peak @ (x:512.0, y:100)
