[PokaPoka @ 367876ms/47s/15m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 313879ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-480)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 336105ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-457)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 357144ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-432)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 375224ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-405)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 865737ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-456)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 881695ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-451)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 898553ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-444)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 915373ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-435)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 935100ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-424)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 954193ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-411)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 970494ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-396)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 986171ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-379)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 1810ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-360)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 18862ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-339)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 35903ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-316)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 53926ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-291)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 75482ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-264)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 100792ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-235)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 124388ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-204)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 148968ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-171)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 829951ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-297)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 847991ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-292)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 865245ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-285)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 880776ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-276)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 896885ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-265)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 918416ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-252)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 938361ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-237)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 952986ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-220)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 969920ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-201)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 986875ms/51s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-180)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 6596ms/52s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-157)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 31624ms/52s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-132)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 63134ms/52s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-105)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 95092ms/52s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-76)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 125860ms/52s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-45)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 150220ms/52s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-12)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 142413ms/53s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-378)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 169928ms/53s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-373)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 189274ms/53s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-366)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 206376ms/53s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-357)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 226297ms/53s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-346)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 245346ms/53s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-333)] with expected peak @ (x:600.0, y:100)
