[PokaPoka @ 158847ms/5s/43m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 339373ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(567.0-668)] with expected peak @ (x:567.0, y:100)
[PokaPoka @ 326102ms/46s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-546)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 394312ms/46s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-528)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 927779ms/49s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(585.0-674)] with expected peak @ (x:585.0, y:100)
[PokaPoka @ 983233ms/49s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(582.0-674)] with expected peak @ (x:582.0, y:100)
[PokaPoka @ 38361ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(579.0-672)] with expected peak @ (x:579.0, y:100)
[PokaPoka @ 98483ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(576.0-668)] with expected peak @ (x:576.0, y:100)
[PokaPoka @ 169485ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(573.0-662)] with expected peak @ (x:573.0, y:100)
[PokaPoka @ 226779ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(570.0-654)] with expected peak @ (x:570.0, y:100)
[PokaPoka @ 267288ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(567.0-644)] with expected peak @ (x:567.0, y:100)
[PokaPoka @ 323181ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(564.0-632)] with expected peak @ (x:564.0, y:100)
[PokaPoka @ 395277ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(561.0-618)] with expected peak @ (x:561.0, y:100)
[PokaPoka @ 441917ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(558.0-602)] with expected peak @ (x:558.0, y:100)
[PokaPoka @ 485321ms/50s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(555.0-584)] with expected peak @ (x:555.0, y:100)
[PokaPoka @ 873397ms/51s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(483.0-674)] with expected peak @ (x:483.0, y:100)
[PokaPoka @ 934415ms/51s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(480.0-674)] with expected peak @ (x:480.0, y:100)
[PokaPoka @ 986280ms/51s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(477.0-672)] with expected peak @ (x:477.0, y:100)
[PokaPoka @ 39138ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(474.0-668)] with expected peak @ (x:474.0, y:100)
[PokaPoka @ 91471ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(471.0-662)] with expected peak @ (x:471.0, y:100)
[PokaPoka @ 168258ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(468.0-654)] with expected peak @ (x:468.0, y:100)
[PokaPoka @ 236209ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(465.0-644)] with expected peak @ (x:465.0, y:100)
[PokaPoka @ 298973ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(462.0-632)] with expected peak @ (x:462.0, y:100)
[PokaPoka @ 359846ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(459.0-618)] with expected peak @ (x:459.0, y:100)
[PokaPoka @ 424995ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-602)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 467106ms/52s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(453.0-584)] with expected peak @ (x:453.0, y:100)
[PokaPoka @ 658154ms/53s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(381.0-674)] with expected peak @ (x:381.0, y:100)
[PokaPoka @ 721170ms/53s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(378.0-674)] with expected peak @ (x:378.0, y:100)
[PokaPoka @ 798218ms/53s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(375.0-672)] with expected peak @ (x:375.0, y:100)
[PokaPoka @ 868846ms/53s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(372.0-668)] with expected peak @ (x:372.0, y:100)
[PokaPoka @ 970148ms/53s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(369.0-662)] with expected peak @ (x:369.0, y:100)
[PokaPoka @ 22154ms/54s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(366.0-654)] with expected peak @ (x:366.0, y:100)
[PokaPoka @ 83464ms/54s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(363.0-644)] with expected peak @ (x:363.0, y:100)
[PokaPoka @ 139194ms/54s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(360.0-632)] with expected peak @ (x:360.0, y:100)
[PokaPoka @ 195299ms/54s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(357.0-618)] with expected peak @ (x:357.0, y:100)
[PokaPoka @ 262124ms/54s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(354.0-602)] with expected peak @ (x:354.0, y:100)
[PokaPoka @ 337305ms/54s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(351.0-584)] with expected peak @ (x:351.0, y:100)
[PokaPoka @ 536304ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(300.0-668)] with expected peak @ (x:300.0, y:100)
[PokaPoka @ 584148ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(297.0-668)] with expected peak @ (x:297.0, y:100)
[PokaPoka @ 624736ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(294.0-666)] with expected peak @ (x:294.0, y:100)
[PokaPoka @ 671268ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(291.0-662)] with expected peak @ (x:291.0, y:100)
[PokaPoka @ 716213ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(288.0-656)] with expected peak @ (x:288.0, y:100)
[PokaPoka @ 772152ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(285.0-648)] with expected peak @ (x:285.0, y:100)
[PokaPoka @ 826744ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(282.0-638)] with expected peak @ (x:282.0, y:100)
[PokaPoka @ 888271ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(279.0-626)] with expected peak @ (x:279.0, y:100)
[PokaPoka @ 929217ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(276.0-612)] with expected peak @ (x:276.0, y:100)
[PokaPoka @ 986379ms/9s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(273.0-596)] with expected peak @ (x:273.0, y:100)
[PokaPoka @ 48268ms/10s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(270.0-578)] with expected peak @ (x:270.0, y:100)
[PokaPoka @ 887256ms/11s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-668)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 933216ms/11s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-668)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 975207ms/11s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-666)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 19213ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-662)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 72679ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-656)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 121546ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-648)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 179029ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-638)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 235967ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-626)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 285455ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-612)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 327519ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-596)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 379851ms/12s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-578)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 455224ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-663)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 528100ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-656)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 604998ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-649)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 652104ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-642)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 705956ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-635)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 768229ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-628)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 837721ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-619)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 902687ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-608)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 982105ms/14s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-595)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 43375ms/15s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-580)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 99836ms/15s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-563)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 154666ms/15s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(258.0-544)] with expected peak @ (x:258.0, y:100)
[PokaPoka @ 223946ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(328.0-678)] with expected peak @ (x:328.0, y:100)
[PokaPoka @ 275923ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(331.0-678)] with expected peak @ (x:331.0, y:100)
[PokaPoka @ 331068ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(334.0-676)] with expected peak @ (x:334.0, y:100)
[PokaPoka @ 391998ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(337.0-672)] with expected peak @ (x:337.0, y:100)
[PokaPoka @ 470695ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(340.0-666)] with expected peak @ (x:340.0, y:100)
[PokaPoka @ 570218ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(343.0-658)] with expected peak @ (x:343.0, y:100)
[PokaPoka @ 630134ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(346.0-648)] with expected peak @ (x:346.0, y:100)
[PokaPoka @ 678896ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(349.0-636)] with expected peak @ (x:349.0, y:100)
[PokaPoka @ 735517ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(352.0-622)] with expected peak @ (x:352.0, y:100)
[PokaPoka @ 790442ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(355.0-606)] with expected peak @ (x:355.0, y:100)
[PokaPoka @ 861066ms/17s/44m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(358.0-588)] with expected peak @ (x:358.0, y:100)
[PokaPoka @ 376094ms/18s/44m/8h, 28d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 376094ms/18s/44m/8h, 28d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 376094ms/18s/44m/8h, 28d/6mo/2021y] --> Exported game log as PokaPoka_698612_4_43_8_28_6_2021.log
